data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/08/2023, 13:04:54;0000003;852;Crs Pendant Force Pendant ;I;23;0;7888;
05/08/2023, 13:04:54;0000003;658;Force Pendant ;J;1;1;8066;
05/08/2023, 13:04:54;0000001;436;Crs Pendant ;H;23;3;7046;
05/08/2023, 13:04:54;0000003;312;Tiara Tiara ;E;12;3;8670;
05/08/2023, 13:04:54;0000003;512;Tribute Rght ;I;1;3;2288;
05/08/2023, 13:04:54;0000002;852;Lft Rght Rght ;F;11;1;1040;
05/08/2023, 13:04:54;0000002;256;Crs Force Lft ;C;11;3;3357;
05/08/2023, 13:04:54;0000002;542;Force Pendant ;F;23;1;1852;
05/08/2023, 13:04:54;0000003;256;Force Rght ;C;9;2;7178;
05/08/2023, 13:04:54;0000001;582;Force Tribute Lft Tiara ;J;20;2;9926;
05/08/2023, 13:04:54;0000001;542;Tiara Rght Crs ;B;9;2;8986;
05/08/2023, 13:04:54;0000002;852;Lft Tiara Pendant ;C;5;3;3753;
05/08/2023, 13:04:54;0000002;582;Lft Lft ;C;17;2;5194;
05/08/2023, 13:04:54;0000003;256;Crs Force ;I;11;1;2363;
05/08/2023, 13:04:54;0000003;312;Tiara Rght Lft ;H;15;1;7683;
05/08/2023, 13:04:54;0000003;582;Crs Force ;A;13;2;9252;
05/08/2023, 13:04:54;0000003;852;Crs Force ;E;13;2;930;
05/08/2023, 13:04:54;0000003;582;Pendant Tiara Lft ;B;20;3;3609;
05/08/2023, 13:04:54;0000002;582;Lft Rght Rght ;H;2;1;6939;
05/08/2023, 13:04:54;0000001;852;Force Lft Tribute Tiara ;B;2;2;7790;
05/08/2023, 13:04:54;0000003;897;Tribute Pendant Force ;H;9;0;8624;
05/08/2023, 13:04:54;0000001;987;Tribute Rght Tiara ;A;1;1;2398;
05/08/2023, 13:04:54;0000001;658;Crs Pendant Tiara ;J;14;1;4342;
05/08/2023, 13:04:54;0000003;312;Crs Tribute Rght Lft ;C;9;0;3249;
05/08/2023, 13:04:54;0000001;845;Crs Crs Crs ;K;16;2;6385;
05/08/2023, 13:04:54;0000001;658;Lft Tiara Pendant ;B;8;2;3861;
05/08/2023, 13:04:54;0000003;852;Force Pendant ;D;9;0;8002;
05/08/2023, 13:04:54;0000001;582;Tribute Rght Crs Crs ;E;13;0;8983;
05/08/2023, 13:04:54;0000001;256;Pendant Tribute Crs Force ;A;11;0;7922;
05/08/2023, 13:04:54;0000002;312;Crs Tribute Rght Lft ;C;2;0;4095;
05/08/2023, 13:04:54;0000002;958;Tiara Tribute ;E;25;1;1814;
05/08/2023, 13:04:54;0000003;897;Tribute Crs Pendant ;G;18;1;3441;
05/08/2023, 13:04:54;0000002;312;Force Tribute Lft Tiara ;B;17;3;7905;
05/08/2023, 13:04:54;0000002;852;Pendant Force ;E;14;3;6821;
05/08/2023, 13:04:54;0000003;542;Lft Pendant ;F;19;1;3808;
05/08/2023, 13:04:54;0000002;580;Crs Lft Lft ;F;23;2;5783;
05/08/2023, 13:04:54;0000001;256;Rght Tribute ;J;25;2;3654;
05/08/2023, 13:04:54;0000001;845;Rght Tiara ;J;12;1;6486;
05/08/2023, 13:04:54;0000001;436;Rght Force ;E;2;0;8779;
05/08/2023, 13:04:54;0000003;958;Force Crs Force ;E;3;1;2599;
05/08/2023, 13:04:54;0000002;987;Pendant Tiara Crs Tiara ;C;6;0;1161;
05/08/2023, 13:04:54;0000001;897;Lft Lft Force Force ;A;24;0;3362;
05/08/2023, 13:04:54;0000001;542;Pendant Force ;H;16;0;5183;
05/08/2023, 13:04:54;0000003;845;Force Crs Force ;I;15;3;931;
05/08/2023, 13:04:54;0000002;582;Rght Tiara ;D;4;2;4268;
05/08/2023, 13:04:54;0000002;256;Tribute Rght Force ;K;21;3;7321;
05/08/2023, 13:04:54;0000003;987;Force Tiara Pendant ;D;21;3;1737;
05/08/2023, 13:04:54;0000003;845;Tribute Tiara Tribute ;H;6;3;2983;
05/08/2023, 13:04:54;0000003;580;Force Pendant ;C;9;3;2329;
05/08/2023, 13:04:54;0000003;845;Crs Crs Tribute Pendant ;A;24;2;5803;
05/08/2023, 13:04:54;0000002;845;Tribute Lft Crs Rght ;G;21;3;9547;
05/08/2023, 13:04:54;0000002;897;Crs Pendant ;E;7;0;5224;
05/08/2023, 13:04:54;0000001;582;Lft Tribute Crs Lft ;G;18;2;6632;
05/08/2023, 13:04:54;0000001;958;Crs Rght ;A;11;2;1767;
05/08/2023, 13:04:54;0000002;852;Lft Crs Force Force ;I;21;0;3246;
05/08/2023, 13:04:54;0000003;582;Force Rght Crs ;H;17;3;7499;
05/08/2023, 13:04:54;0000003;845;Crs Lft Crs ;H;2;2;7930;
05/08/2023, 13:04:54;0000002;852;Rght Crs Lft Rght ;B;2;2;7425;
05/08/2023, 13:04:54;0000002;312;Lft Tribute Force ;D;3;2;9539;
05/08/2023, 13:04:54;0000001;512;Tribute Tiara Tribute ;B;23;1;3110;
05/08/2023, 13:04:54;0000002;312;Crs Crs Tribute Pendant ;E;7;0;1513;
05/08/2023, 13:04:54;0000001;658;Rght Tiara Force Tribute ;A;1;2;3154;
05/08/2023, 13:04:54;0000001;256;Pendant Tribute Tiara ;C;4;2;4877;
05/08/2023, 13:04:54;0000003;958;Pendant Crs ;H;19;3;3021;
05/08/2023, 13:04:54;0000003;845;Tiara Crs ;E;6;3;7832;
05/08/2023, 13:04:54;0000003;958;Pendant Pendant Lft Tiara ;A;14;2;5868;
05/08/2023, 13:04:54;0000002;582;Force Tiara ;I;1;2;9723;
05/08/2023, 13:04:54;0000002;542;Tribute Crs Rght ;A;5;0;8997;
05/08/2023, 13:04:54;0000003;897;Pendant Force ;G;17;3;9940;
05/08/2023, 13:04:54;0000003;658;Crs Force Lft ;H;3;0;4770;
05/08/2023, 13:04:54;0000003;256;Lft Lft Lft ;C;16;1;8708;
05/08/2023, 13:04:54;0000002;312;Lft Rght Rght ;B;16;1;9918;
05/08/2023, 13:04:54;0000001;958;Force Tribute Lft Tiara ;H;9;3;2868;
05/08/2023, 13:04:54;0000001;436;Pendant Tribute ;C;5;1;8362;
05/08/2023, 13:04:54;0000003;256;Crs Rght ;B;24;3;3023;
05/08/2023, 13:04:54;0000002;542;Lft Crs Force Force ;A;2;1;9138;
05/08/2023, 13:04:54;0000001;312;Lft Tribute Force ;F;19;1;6416;
05/08/2023, 13:04:54;0000002;580;Lft Lft Force Force ;K;10;3;6584;
05/08/2023, 13:04:54;0000002;582;Force Tiara Pendant ;K;9;0;8912;
05/08/2023, 13:04:54;0000001;512;Force Tiara Pendant Tribute ;J;5;2;2569;
05/08/2023, 13:04:54;0000001;312;Tribute Rght Tiara ;G;20;1;4796;
05/08/2023, 13:04:54;0000001;436;Rght Tribute ;G;6;1;5106;
05/08/2023, 13:04:54;0000002;312;Lft Pendant Pendant ;I;25;1;5781;
05/08/2023, 13:04:54;0000003;542;Tribute Tribute ;A;18;0;1818;
05/08/2023, 13:04:54;0000002;312;Pendant Tribute ;C;23;3;5342;
05/08/2023, 13:04:54;0000001;582;Crs Crs ;D;2;3;6779;
05/08/2023, 13:04:54;0000003;580;Force Lft Rght Rght ;H;14;3;4197;
05/08/2023, 13:04:54;0000001;542;Crs Force Lft ;H;6;3;884;
05/08/2023, 13:04:54;0000003;580;Rght Tribute ;E;7;2;9961;
05/08/2023, 13:04:54;0000002;897;Pendant Tiara Crs Tiara ;K;25;0;9215;
05/08/2023, 13:04:54;0000002;958;Tiara Crs ;K;20;2;700;
05/08/2023, 13:04:54;0000001;256;Tiara Rght ;C;4;0;1858;
05/08/2023, 13:04:54;0000002;256;Force Pendant Tribute Rght ;J;25;3;7526;
05/08/2023, 13:04:54;0000003;542;Tiara Tribute Lft ;A;10;1;7;
05/08/2023, 13:04:54;0000001;312;Lft Tribute Crs Lft ;J;12;3;5290;
05/08/2023, 13:04:54;0000003;658;Crs Pendant Force Pendant ;H;9;3;3839;
05/08/2023, 13:04:54;0000001;512;Crs Force ;D;12;2;44;
05/08/2023, 13:04:54;0000003;542;Lft Force ;J;25;2;9242;
05/08/2023, 13:04:54;0000003;436;Rght Tribute Lft ;K;2;2;9977;
05/08/2023, 13:04:54;0000001;658;Tribute Lft Crs Rght ;C;1;0;2;
05/08/2023, 13:04:54;0000001;958;Tribute Rght ;F;5;0;1139;
05/08/2023, 13:04:54;0000002;512;Crs Force ;K;20;3;8992;
05/08/2023, 13:04:54;0000001;987;Rght Crs ;G;14;2;5750;
05/08/2023, 13:04:54;0000002;958;Rght Pendant ;K;20;0;7937;
05/08/2023, 13:04:54;0000001;512;Crs Pendant Tiara ;F;17;0;1695;
05/08/2023, 13:04:54;0000003;542;Tiara Tiara ;G;1;1;239;
05/08/2023, 13:04:54;0000002;580;Rght Force ;G;10;3;5022;
05/08/2023, 13:04:54;0000001;580;Lft Rght ;C;4;0;5010;
05/08/2023, 13:04:54;0000002;845;Pendant Force ;A;14;3;8826;
05/08/2023, 13:04:54;0000003;312;Lft Rght Rght ;I;12;3;8406;
05/08/2023, 13:04:54;0000002;580;Lft Lft Force Force ;E;16;0;8465;
05/08/2023, 13:04:54;0000002;658;Tiara Crs Force ;C;5;1;8218;
05/08/2023, 13:04:54;0000001;897;Lft Tribute Crs Lft ;I;24;3;914;
05/08/2023, 13:04:54;0000002;845;Tribute Tiara Tribute ;G;6;0;6560;
05/08/2023, 13:04:54;0000001;852;Crs Pendant Force Pendant ;A;25;0;7191;
05/08/2023, 13:04:54;0000001;580;Lft Tiara Pendant ;C;2;3;7371;
05/08/2023, 13:04:54;0000003;852;Force Crs ;K;9;3;6288;
05/08/2023, 13:04:54;0000002;958;Tribute Tiara Tribute ;D;22;0;5291;
05/08/2023, 13:04:54;0000002;958;Crs Pendant Force Pendant ;D;4;1;9935;
05/08/2023, 13:04:54;0000003;512;Crs Force ;F;23;3;8189;
05/08/2023, 13:04:54;0000003;256;Pendant Tiara Lft ;C;16;3;7111;
05/08/2023, 13:04:54;0000002;312;Lft Lft ;H;16;0;4735;
05/08/2023, 13:04:54;0000001;845;Lft Rght Tiara Pendant ;H;10;2;4258;
05/08/2023, 13:04:54;0000003;582;Crs Tribute Lft ;J;11;2;4813;
05/08/2023, 13:04:54;0000003;987;Lft Pendant Pendant ;D;20;3;9512;
05/08/2023, 13:04:54;0000003;512;Crs Force ;B;17;0;6877;
05/08/2023, 13:04:54;0000001;512;Tiara Rght Crs ;J;10;1;8972;
05/08/2023, 13:04:54;0000001;256;Rght Tribute ;H;19;0;6547;
05/08/2023, 13:04:54;0000003;852;Rght Tribute ;I;6;1;3244;
05/08/2023, 13:04:54;0000003;987;Rght Crs Lft Rght ;H;1;2;5911;
05/08/2023, 13:04:54;0000001;845;Crs Tiara ;H;24;2;6190;
05/08/2023, 13:04:54;0000001;845;Rght Tiara Force Tribute ;H;4;0;8473;
05/08/2023, 13:04:54;0000003;580;Tribute Rght Force ;I;2;0;4005;
05/08/2023, 13:04:54;0000002;580;Rght Force Tiara Tiara ;F;14;2;1553;
05/08/2023, 13:04:54;0000003;512;Lft Crs ;J;10;1;2564;
05/08/2023, 13:04:54;0000001;897;Crs Force ;K;20;3;1822;
05/08/2023, 13:04:54;0000002;512;Lft Pendant ;J;2;0;6719;
05/08/2023, 13:04:54;0000001;897;Pendant Tribute Rght Lft ;A;23;3;7659;
05/08/2023, 13:04:54;0000001;658;Force Crs ;E;12;0;423;
05/08/2023, 13:04:54;0000001;512;Lft Lft ;C;18;3;5439;
05/08/2023, 13:04:54;0000002;958;Pendant Force ;E;25;3;357;
05/08/2023, 13:04:54;0000001;512;Pendant Rght Tribute Tiara ;E;14;1;7853;
05/08/2023, 13:04:54;0000001;580;Pendant Tribute Rght Lft ;I;1;1;9450;
05/08/2023, 13:04:54;0000001;436;Rght Tiara Force Tribute ;A;13;0;5641;
05/08/2023, 13:04:54;0000003;958;Pendant Pendant Lft Tiara ;C;15;2;6115;
05/08/2023, 13:04:54;0000002;582;Rght Crs ;D;4;1;6032;
05/08/2023, 13:04:54;0000001;312;Crs Force ;G;21;3;8631;
05/08/2023, 13:04:54;0000001;897;Crs Crs ;F;8;1;1478;
05/08/2023, 13:04:54;0000001;436;Force Rght Crs ;H;24;2;1236;
05/08/2023, 13:04:54;0000003;845;Tiara Rght ;B;17;3;9373;
05/08/2023, 13:04:54;0000003;312;Force Crs Force ;K;25;1;7803;
05/08/2023, 13:04:54;0000001;436;Force Tiara Rght ;E;3;0;817;
05/08/2023, 13:04:54;0000002;256;Tiara Tiara ;K;15;1;9337;
05/08/2023, 13:04:54;0000003;897;Crs Tiara Lft Crs ;H;16;0;1340;
05/08/2023, 13:04:54;0000001;958;Pendant Lft Tiara ;G;11;3;6030;
05/08/2023, 13:04:54;0000003;512;Lft Tiara Pendant ;E;11;2;7684;
05/08/2023, 13:04:54;0000002;542;Force Pendant ;F;4;1;3603;
05/08/2023, 13:04:54;0000003;436;Force Tiara Pendant Tribute ;G;9;3;5266;
05/08/2023, 13:04:54;0000003;312;Pendant Rght Tribute ;D;14;3;5754;
05/08/2023, 13:04:54;0000001;256;Force Force Tribute ;D;12;0;5960;
05/08/2023, 13:04:54;0000001;580;Tiara Crs Force ;E;24;0;4453;
05/08/2023, 13:04:54;0000001;436;Rght Tiara Force ;B;7;1;6120;
05/08/2023, 13:04:54;0000003;958;Force Rght ;A;2;3;2097;
05/08/2023, 13:04:54;0000002;542;Pendant Crs ;A;16;3;9998;
05/08/2023, 13:04:54;0000001;436;Crs Tiara Tribute ;I;13;1;6872;
05/08/2023, 13:04:54;0000002;582;Crs Crs Pendant Pendant ;F;11;3;6000;
05/08/2023, 13:04:54;0000001;582;Crs Crs Crs ;C;2;3;1255;
05/08/2023, 13:04:54;0000002;852;Force Tiara ;I;1;2;9397;
05/08/2023, 13:04:54;0000002;580;Force Lft Tribute Tiara ;E;10;0;4975;
05/08/2023, 13:04:54;0000002;852;Force Force Tribute ;A;15;2;3630;
05/08/2023, 13:04:54;0000003;845;Rght Rght ;F;6;0;5477;
05/08/2023, 13:04:54;0000001;436;Pendant Crs ;I;10;2;5741;
05/08/2023, 13:04:54;0000003;897;Rght Tiara ;C;3;3;5550;
05/08/2023, 13:04:54;0000002;312;Lft Tribute Force ;F;22;2;226;
05/08/2023, 13:04:54;0000002;852;Crs Pendant ;C;17;1;7516;
05/08/2023, 13:04:54;0000002;958;Tribute Crs ;J;4;0;423;
05/08/2023, 13:04:54;0000001;897;Rght Force Tiara Tiara ;D;22;3;219;
05/08/2023, 13:04:54;0000003;582;Pendant Rght Crs ;C;1;0;8420;
05/08/2023, 13:04:54;0000002;845;Tiara Tribute ;H;15;0;2398;
05/08/2023, 13:04:54;0000003;582;Tiara Crs Rght ;B;7;1;1519;
05/08/2023, 13:04:54;0000002;958;Force Crs Force ;E;2;0;4380;
05/08/2023, 13:04:54;0000002;852;Tiara Rght Crs ;E;11;0;4551;
05/08/2023, 13:04:54;0000001;658;Rght Tribute ;J;7;3;7815;
05/08/2023, 13:04:54;0000002;542;Crs Crs Tribute Pendant ;F;18;2;7314;
05/08/2023, 13:04:54;0000003;512;Lft Crs ;G;5;3;7107;
05/08/2023, 13:04:54;0000002;987;Pendant Force ;A;13;1;3822;
05/08/2023, 13:04:54;0000001;542;Lft Force ;G;4;0;3741;
05/08/2023, 13:04:54;0000001;987;Pendant Tribute Crs Force ;I;15;3;3450;
05/08/2023, 13:04:54;0000003;852;Force Tiara Pendant Tribute ;K;20;3;5834;
05/08/2023, 13:04:54;0000003;512;Lft Pendant ;K;22;3;8083;
05/08/2023, 13:04:54;0000003;897;Pendant Crs Pendant Lft ;G;16;3;1932;
05/08/2023, 13:04:54;0000001;658;Crs Tribute Rght Lft ;I;15;0;5938;
05/08/2023, 13:04:54;0000002;958;Pendant Tiara Crs Tiara ;E;18;3;6986;
05/08/2023, 13:04:54;0000001;512;Crs Lft Lft ;F;15;1;3337;
05/08/2023, 13:04:54;0000002;256;Tribute Force Rght Tiara ;C;22;0;6668;
05/08/2023, 13:04:54;0000002;542;Lft Rght ;I;23;2;9762;
05/08/2023, 13:04:54;0000002;436;Pendant Crs ;G;7;1;4721;
05/08/2023, 13:04:54;0000002;658;Tiara Tiara Crs Force ;C;22;0;5823;
05/08/2023, 13:04:54;0000003;958;Pendant Tribute Crs Force ;I;3;2;3264;
05/08/2023, 13:04:54;0000002;580;Force Rght Crs Force ;H;22;0;6212;
05/08/2023, 13:04:54;0000003;658;Tribute Rght Crs ;J;4;2;1652;
05/08/2023, 13:04:54;0000001;312;Lft Force ;D;2;2;6702;
05/08/2023, 13:04:54;0000002;845;Tiara Lft Pendant ;I;3;3;8692;
05/08/2023, 13:04:54;0000003;542;Tiara Rght Crs ;J;12;1;3768;
05/08/2023, 13:04:54;0000002;582;Lft Rght ;F;12;3;2879;
05/08/2023, 13:04:54;0000003;958;Tribute Crs Force ;F;22;0;59;
05/08/2023, 13:04:54;0000002;436;Tiara Crs ;E;2;3;1439;
05/08/2023, 13:04:54;0000003;256;Pendant Crs Crs Crs ;A;14;2;9779;
05/08/2023, 13:04:54;0000002;845;Crs Force Pendant Pendant ;K;14;3;1607;
05/08/2023, 13:04:54;0000002;542;Rght Crs ;I;5;0;1542;
05/08/2023, 13:04:54;0000001;436;Crs Pendant Force Pendant ;G;16;1;3793;
05/08/2023, 13:04:54;0000001;512;Lft Pendant ;F;24;3;7280;
05/08/2023, 13:04:54;0000003;256;Force Tiara Rght ;K;10;3;903;
05/08/2023, 13:04:54;0000002;582;Force Lft Pendant Lft ;A;8;3;6143;
05/08/2023, 13:04:54;0000003;436;Tribute Crs Pendant ;J;15;2;6872;
05/08/2023, 13:04:54;0000002;542;Pendant Force Force ;H;12;0;1898;
05/08/2023, 13:04:54;0000001;658;Crs Lft Rght Rght ;D;19;0;3108;
05/08/2023, 13:04:54;0000002;987;Rght Crs ;F;8;0;6176;
05/08/2023, 13:04:54;0000002;580;Lft Crs ;A;7;2;423;
05/08/2023, 13:04:54;0000001;256;Tribute Lft ;F;17;1;2299;
05/08/2023, 13:04:54;0000003;312;Tribute Tribute ;B;3;3;1222;
05/08/2023, 13:04:54;0000003;845;Rght Force Tiara Tiara ;B;17;3;8911;
05/08/2023, 13:04:54;0000002;436;Tiara Force Rght Lft ;I;16;0;3094;
05/08/2023, 13:04:54;0000002;256;Pendant Crs Crs Crs ;G;19;3;2614;
05/08/2023, 13:04:54;0000002;658;Rght Tiara ;F;24;0;2879;
05/08/2023, 13:04:54;0000001;852;Lft Crs Force Force ;B;19;2;3266;
05/08/2023, 13:04:54;0000002;845;Tribute Lft ;F;3;2;2206;
05/08/2023, 13:04:54;0000001;845;Crs Pendant Tiara ;B;5;3;2969;
05/08/2023, 13:04:54;0000003;897;Lft Tribute Pendant ;B;12;1;2950;
05/08/2023, 13:04:54;0000002;512;Lft Crs Force Force ;B;14;0;5431;
05/08/2023, 13:04:54;0000002;958;Lft Tribute Pendant ;K;18;0;1031;
05/08/2023, 13:04:54;0000001;542;Force Tiara Tiara Pendant ;H;12;3;6057;
05/08/2023, 13:04:54;0000002;897;Tribute Tiara Tribute ;J;5;2;5736;
05/08/2023, 13:04:54;0000002;582;Crs Pendant ;B;22;3;7922;
05/08/2023, 13:04:54;0000003;580;Crs Tiara ;G;21;0;6629;
05/08/2023, 13:04:54;0000003;582;Force Crs Force ;J;7;3;2381;
05/08/2023, 13:04:54;0000001;987;Tribute Lft ;C;3;2;5993;
05/08/2023, 13:04:54;0000002;852;Crs Tribute ;G;10;1;8977;
05/08/2023, 13:04:54;0000001;897;Pendant Tribute Crs Force ;A;7;1;7606;
05/08/2023, 13:04:54;0000002;987;Rght Tribute ;F;24;1;2513;
05/08/2023, 13:04:54;0000002;987;Tiara Crs Force ;G;14;3;9145;
05/08/2023, 13:04:54;0000003;958;Pendant Crs ;A;20;0;2699;
05/08/2023, 13:04:54;0000002;852;Force Force Tribute ;B;8;0;2558;
05/08/2023, 13:04:54;0000002;542;Tiara Tiara ;I;15;2;8489;
05/08/2023, 13:04:54;0000001;256;Force Rght Crs ;F;13;3;6381;
05/08/2023, 13:04:54;0000002;897;Tribute Rght ;A;13;0;4076;
05/08/2023, 13:04:54;0000002;582;Pendant Rght Crs ;F;8;0;9666;
05/08/2023, 13:04:54;0000001;580;Tribute Rght Crs ;F;21;0;9096;
05/08/2023, 13:04:54;0000001;958;Tiara Rght Lft ;I;7;2;4990;
05/08/2023, 13:04:54;0000003;897;Tribute Lft Tribute ;K;7;2;1213;
05/08/2023, 13:04:54;0000001;582;Lft Rght ;K;4;1;6911;
05/08/2023, 13:04:54;0000003;312;Crs Pendant ;J;1;3;6166;
05/08/2023, 13:04:54;0000002;256;Crs Force ;K;22;0;6631;
05/08/2023, 13:04:54;0000003;845;Pendant Tribute Rght Lft ;C;7;2;6280;
05/08/2023, 13:04:54;0000001;852;Tiara Tribute ;K;24;1;9396;
05/08/2023, 13:04:54;0000002;987;Tiara Crs ;K;10;1;7194;
05/08/2023, 13:04:54;0000003;256;Crs Tiara Tribute ;H;20;3;390;
05/08/2023, 13:04:54;0000002;512;Force Lft Tiara Lft ;B;11;0;6870;
05/08/2023, 13:04:54;0000001;542;Force Crs Force ;J;19;3;7335;
05/08/2023, 13:04:54;0000002;658;Crs Tiara Tribute ;J;1;3;4836;
05/08/2023, 13:04:54;0000001;658;Pendant Rght Crs ;D;1;1;8157;
05/08/2023, 13:04:54;0000001;512;Force Rght Crs ;D;10;3;5693;
05/08/2023, 13:04:54;0000002;658;Tiara Tiara ;D;12;2;5518;
05/08/2023, 13:04:54;0000003;580;Rght Tribute ;A;22;0;9590;
05/08/2023, 13:04:54;0000002;958;Tiara Force Rght Lft ;H;18;2;8505;
05/08/2023, 13:04:54;0000002;658;Rght Crs ;J;16;3;9533;
05/08/2023, 13:04:54;0000001;658;Pendant Crs Pendant Lft ;H;13;1;954;
05/08/2023, 13:04:54;0000002;312;Crs Rght ;J;11;2;5439;
05/08/2023, 13:04:54;0000002;312;Tiara Force Crs Tiara ;G;24;2;9986;
05/08/2023, 13:04:54;0000002;542;Crs Pendant Force Pendant ;J;9;2;3400;
05/08/2023, 13:04:54;0000001;897;Crs Tribute ;C;25;2;254;
05/08/2023, 13:04:54;0000001;256;Rght Rght ;G;8;3;8040;
05/08/2023, 13:04:54;0000002;897;Force Tribute Pendant ;H;5;3;6277;
05/08/2023, 13:04:54;0000002;582;Force Rght Crs Force ;C;17;2;2470;
05/08/2023, 13:04:54;0000002;897;Crs Crs Tribute Pendant ;H;3;1;8108;
05/08/2023, 13:04:54;0000002;658;Crs Tribute Lft ;I;22;1;3575;
05/08/2023, 13:04:54;0000002;312;Tribute Tribute ;B;23;3;1298;
05/08/2023, 13:04:54;0000002;852;Tiara Rght ;A;11;0;9796;
05/08/2023, 13:04:54;0000002;580;Crs Tiara Rght Tiara ;G;17;2;4573;
05/08/2023, 13:04:54;0000001;845;Lft Pendant Pendant ;C;11;0;2408;
05/08/2023, 13:04:54;0000002;845;Tiara Crs Rght ;A;11;3;1945;
05/08/2023, 13:04:54;0000001;512;Pendant Rght Tribute Tiara ;H;20;0;2596;
05/08/2023, 13:04:54;0000003;512;Force Rght ;H;11;3;907;
